filial;codigo_filial;produto;data_venda;cor_produto;total_custo;total_venda;total_desconto;total_qtde_venda;ve1;ve2;ve3;ve4;ve5;ve6;ve7;ve8;ve9;ve10;ve11;ve12;ve13;ve14;ve15;ve16;ve17;ve18;ve19;ve20;ve21;ve22;ve23;ve24;ve25;ve26;ve27;ve28;ve29;ve30;ve31;ve32;ve33;ve34;ve35;ve36;ve37;ve38;ve39;ve40;ve41;ve42;ve43;ve44;ve45;ve46;ve47;ve48;clifor;filial_propria;matriz;regiao;tabela_operacoes;tabela_medidas;tipo_produto;desc_produto;grupo_produto;subgrupo_produto;colecao;grade;linha;griffe;cartela;unidade;revenda;refer_fabricante;modelagem;fabricante;estilista;modelista;periodo_pcp;cor_fabricante;desc_cor_produto;tinturaria_lavagem;margem;preco_medio;porcentagem_valor;porcentagem_qtde;cor;material;cor_material;etiqueta;tipo_lavagem_tinturaria;qtde_troca;valor_troca;desconto_troca;custo_troca;qtde_liquida;valor_liquido;empresa;custo_rep_unitario;custo_rep_total;desc_produto_segmento;desc_produto_solucao;desc_sexo_tipo
GUARULHOS - RSR;000079;13.71.0679;16/05/2026;13;146,72;998;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;SOLARIO C 01/26;LENÇO;LÃ;X6;110X110;LENÇOS;SCARFME;;PC;FALSO;AM25215-V2;;CHINA;;;PADRAO;;OFF WHITE;FALSO;85,3;998;0,46;0,13;13;;;;;0;0;0;0;1;998;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0689;15/05/2026;03;111,28;881,51272;16,48728;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;MAPA DO BRASIL C 04/26;LENÇO;CETIM DE SEDA;Y1;90X90;LENÇOS;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;AZUL;FALSO;87,38;881,51;0,4;0,13;03;;;;;0;0;0;0;1;881,51;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0690;16/05/2026;47;111,28;647,06288;250,93712;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;DRACENA C 04/26;LENÇO;CETIM DE SEDA;X7;90X90;LENÇOS;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;PINK;FALSO;82,8;647,06;0,3;0,13;47;;;;;0;0;0;0;1;647,06;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0691;15/05/2026;47;46,18;218;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;DRACENA C 04/26;TWILLY;CETIM DE SEDA;X7;8X130;APROVEITAMENTO LENÇO;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;PINK;FALSO;78,82;218;0,1;0,13;47;;;;;0;0;0;0;1;218;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0691;16/05/2026;47;46,18;218;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;DRACENA C 04/26;TWILLY;CETIM DE SEDA;X7;8X130;APROVEITAMENTO LENÇO;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;PINK;FALSO;78,82;218;0,1;0,13;47;;;;;0;0;0;0;1;218;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0694;15/05/2026;08;111,28;881,51272;16,48728;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;BRASILIDADE C 04/26;LENÇO;CETIM DE SEDA;Y1;90X90;LENÇOS;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;ROSA;FALSO;87,38;881,51;0,4;0,13;08;;;;;0;0;0;0;1;881,51;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0696;17/05/2026;13;146,72;798,4;199,6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;FLORAL;BANDANA GLORIOSA C 04/26;LENÇO;LÃ;T6;110X110;LENÇOS;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;OFF WHITE;FALSO;81,62;798,4;0,37;0,13;13;;;;;0;0;0;0;1;798,4;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.71.0697;17/05/2026;03;111,28;718,4;179,6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;ABSTRATO;SILHUETAS C 05/26;LENÇO;CETIM DE SEDA;Y1;90X90;LENÇOS;SCARFME;;PC;FALSO;;;CHINA;;;PADRAO;;AZUL;FALSO;84,51;718,4;0,33;0,13;03;;;;;0;0;0;0;1;718,4;6;0;0;;;UNISSEX
GUARULHOS - RSR;000079;13.B1.0071;15/05/2026;40;44,47;198;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;GEOMETRICO;BANDANA CLASSICO 12/24;LENÇO;ALGODÃO;T6;65X65;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MARINHO;FALSO;77,54;198;0,09;0,13;40;;;;;0;0;0;0;1;198;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.B1.0075;15/05/2026;08;47,97;199;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;PAISAGEM;JARDIM ENCANTADO 05/25;LENÇO;ALGODÃO;Q6;130X130;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;ROSA;FALSO;75,89;199;0,09;0,13;08;;;;;0;0;0;0;1;199;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;13.B1.0077;15/05/2026;08;47,97;298,00051;-99,00051;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;PAISAGEM;ENCANTO TROPICAL 05/25;LENÇO;ALGODÃO;Q6;130X130;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;ROSA;FALSO;83,9;298;0,14;0,13;08;;;;;0;0;0;0;1;298;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;14.20.0049;15/05/2026;11;296,61;1800,00626;97,99374;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;INDIGENA;AMAZONIA INDIGENA C 11/24;PANNEAUX;CETIM DE SEDA;O8;130X200;LENÇOS;SCARFME;;PC;FALSO;HE22039;;CHINA;;;PADRAO;;LARANJA;FALSO;83,52;1800,01;0,82;0,13;11;;;;;0;0;0;0;1;1800,01;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;28.05.0079;16/05/2026;03;130,63;357,999642;-107,399642;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;GEOMETRICO;MODERN DUBAI G ORGANIZADOR 10/24;ACESSÓRIOS;NECESSAIRE;T3;TAMANHO G;ACESSÓRIOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;AZUL;FALSO;63,51;358;0,16;0,13;03;;;;;0;0;0;0;1;358;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;28.05.0116;15/05/2026;04;78,38;253,26312;4,73688;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;SILHUETAS M ORGANIZADOR 11/25;ACESSÓRIOS;NECESSAIRE;V9;TAMANHO M;ACESSÓRIOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;VERDE;FALSO;69,05;253,26;0,12;0,13;04;;;;;0;0;0;0;1;253,26;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;45.14.0036;16/05/2026;C6;29,48;327,99966;-29,99966;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;BRASIL ANIMAL PRINT 12/22;ECHARPE;MOUSSELINE DE POLIESTER;O2;45X210;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;AZUL/AMARELO;FALSO;91,01;328;0,15;0,13;C6;;;;;0;0;0;0;1;328;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;45.14.0036;17/05/2026;C6;29,48;278,20088;19,79912;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;BICHO;BRASIL ANIMAL PRINT 12/22;ECHARPE;MOUSSELINE DE POLIESTER;O2;45X210;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;AZUL/AMARELO;FALSO;89,4;278,2;0,13;0,13;C6;;;;;0;0;0;0;1;278,2;6;0;0;;;FEMININO
GUARULHOS - RSR;000079;45.14.0052;15/05/2026;40;29,48;328;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;000079;FALSO;SCARF ME MATRIZ - RSR;SUDESTE;;;INDIGENA;AMAZONIA INDÍGENA 05/23;ECHARPE;MOUSSELINE DE POLIESTER;O8;45X210;LENÇOS;SCARFME;;PC;FALSO;;;SALETE CAJAMAR;;;PADRAO;;MARINHO;FALSO;91,01;328;0,15;0,13;40;;;;;0;0;0;0;1;328;6;0;0;;;FEMININO
